"X","date","sal","do","ph","depth","w.temp","a.temp"
277,"5/20/1996",3,9,8.8,0.75,28,30
278,"5/27/1996",3,9.6,8.6,0.6,19,17.5
279,"6/3/1996",3,8.7,8.5,0.5,17,15.5
280,"6/10/1996",3,8,8.1,1.02,24,19.5
281,"6/17/1996",3,8.8,8.4,0.75,27,25
282,"6/24/1996",3,8,8.6,0.8,26.5,25
283,"8/2/1996",2.5,6.4,7.3,0.8,26,-17.77777778
285,"8/18/1996",3,4.65,7.3,0.68,27.5,-17.77777778
286,"9/1/1996",2.8,2,7.4,0.4,25,-17.77777778
288,"9/22/1996",3.1,2,7.4,0.9,22,-17.77777778
289,"9/28/1996",3.2,1.7,7.5,0.88,23,-17.77777778
290,"10/5/1996",4.4,9.9,7.2,0.45,15.5,17.2
291,"10/11/1996",2.4,8.69,7.2,0.75,17.5,14.8
292,"10/20/1996",2.2,9.71,7.6,0.73,15,13.6
293,"10/26/1996",2.8,8.15,6.7,0.75,19,19.6
294,"11/3/1996",2,6.5,6.8,0.58,10.1,9.3
295,"11/12/1996",1.9,11.43,7.1,0.55,6.2,5.23
296,"11/17/1996",1.8,11.8,6.8,0.3,9.1,10.8
297,"12/1/1996",1.9,10.9,6.9,0.6,11,17.5
298,"12/8/1996",1.6,11.2,6.9,0.65,9.1,10.6
299,"12/21/1996",1.8,12.25,6.9,0.61,5.21,3.5
300,"1/5/1997",2,9.2,6.7,0.7,13.5,17.4
301,"1/19/1997",1.3,13.3,7,0.3,0,-17.77777778
302,"2/1/1997",1.5,10.9,6.6,3.5,10.1,16.7
303,"2/15/1997",1.3,10.55,6.6,0.6,8.2,5
304,"3/3/1997",1.8,9.45,6.9,0.54,14.1,8.9
305,"3/15/1997",1.2,10.2,6.5,0.52,13.2,8.7
306,"4/13/1997",1.2,9.8,6.9,0.74,17.1,20.1
307,"4/19/1997",1.3,10.8,6.7,0.49,11,15.3
308,"4/26/1997",1.1,10.1,6.8,0.55,15.5,15.2
309,"5/4/1997",1.1,9.73,6.5,0.88,18,16.4
310,"5/12/1997",1.5,9.5,7.3,0.67,21,-17.77777778
311,"5/16/1997",1.3,10.2,6.6,0.7,20.5,20.2
312,"5/24/1997",1.6,9.9,7.5,0.5,23,22.3
313,"5/30/1997",1.6,9.5,8,0.2,23,-17.77777778
314,"6/8/1997",1,10.5,6.3,0.15,18,16.5
315,"6/21/1997",1.5,7.5,6.5,0.7,26.5,28.9
316,"6/27/1997",1.5,8.5,8,0.62,29,25.77777778
317,"7/6/1997",1.5,7.6,6.8,0.68,27,24.7
318,"7/12/1997",1.5,8.55,6.4,0.4,27,26.7
319,"7/20/1997",1.6,8.7,7.4,0.58,27.5,28.6
320,"7/27/1997",1.5,9.7,7.8,0.69,27,30.4
321,"7/29/1997",1.5,8.1,8,0.65,28,27.77777778
322,"8/9/1997",1.7,9.8,8.6,0.5,27.5,25.9
323,"8/15/1997",1.7,7.7,8.2,0.63,8.4,28.11111111
324,"8/22/1997",1.7,9,8.2,0.67,25.5,25.38888889
325,"8/30/1997",1.8,9.6,8.1,0.45,26,26.1
326,"9/14/1997",1.9,9.6,7.9,0.61,24,25.9
327,"10/5/1997",1.9,10.25,8.2,0.65,21.6,23.4
329,"11/9/1997",1.8,10.6,6.5,0.65,12,10.9
330,"12/6/1997",1.5,14.3,6.9,0.45,6,4.5
331,"1/4/1998",1.5,12.3,6.4,0.5,8.9,14
332,"1/25/1998",1.2,12.5,6.5,0.6,8.1,7.7
333,"2/22/1998",1.1,10.7,6.3,0.75,10.5,-17.77777778
334,"3/22/1998",1,11.1,6.4,0.71,11,9.3
335,"4/19/1998",1,10.8,6.9,0.78,17,-17.77777778
336,"5/2/1998",1,10.9,8.2,0.78,21.5,22.5
